C:\Anaconda\envs\tensorflow\python.exe G:/Projekte/GitHub/TensorFlow/TensorFlow/traicy/cnn/DEBUG.py
Tue Apr 24 18:28:41 2018    restats

         3466457 function calls (3324954 primitive calls) in 4.748 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <string>:5(TensorArrayConcat)
        1    0.000    0.000    0.000    0.000 <string>:5(TensorArrayConcatV2)
        1    0.000    0.000    0.000    0.000 <string>:5(TensorArrayConcatV3)
        1    0.000    0.000    0.000    0.000 <string>:5(TensorArrayGradV3)
        1    0.000    0.000    0.000    0.000 <string>:5(TensorArrayV3)
        1    0.000    0.000    0.000    0.000 <string>:5(Text)
        1    0.000    0.000    0.000    0.000 <string>:5(ThreadUnsafeUnigramCandidateSampler)
        1    0.000    0.000    0.000    0.000 <string>:5(TokenInfo)
        1    0.000    0.000    0.000    0.000 <string>:5(TopK)
        1    0.000    0.000    0.000    0.000 <string>:5(TopKV2)
        1    0.000    0.000    0.000    0.000 <string>:5(Traceback)
        1    0.000    0.000    0.000    0.000 <string>:5(TrainSpec)
        1    0.000    0.000    0.000    0.000 <string>:5(UniformCandidateSampler)
        1    0.000    0.000    0.000    0.000 <string>:5(Unique)
        1    0.000    0.000    0.000    0.000 <string>:5(UniqueV2)
        1    0.000    0.000    0.000    0.000 <string>:5(UniqueWithCounts)
        1    0.000    0.000    0.000    0.000 <string>:5(VSpace)
        1    0.000    0.000    0.000    0.000 <string>:5(VarLenFeature)
        1    0.000    0.000    0.000    0.000 <string>:5(_ASN1Object)
        1    0.000    0.000    0.000    0.000 <string>:5(_BucketizedColumn)
        1    0.000    0.000    0.000    0.000 <string>:5(_CrossedColumn)
        1    0.000    0.000    0.000    0.000 <string>:5(_EmbeddingColumn)
        1    0.000    0.000    0.000    0.000 <string>:5(_HashedCategoricalColumn)
        1    0.000    0.000    0.000    0.000 <string>:5(_IdentityCategoricalColumn)
        1    0.000    0.000    0.000    0.000 <string>:5(_IndicatorColumn)
